name,category,review,summary
Kingdom Come: Deliverance 2,Action RPG,9.1,Warhorse Studios' sequel to the beloved medieval RPG continues Henry's story with an even larger open world set in 15th-century Bohemia and refined combat.
Monster Hunter Wilds,Action RPG,9.2,The long-awaited next mainline Monster Hunter entry featuring seamless open environments and dynamic ecosystems where monsters behave realistically.
Civilization VII,Strategy,8.5,Sid Meier's legendary strategy series returns with major overhauls to ages progression and a revamped diplomatic system.
Avowed,RPG,8.1,Obsidian's first-person RPG set in the Pillars of Eternity universe features deep lore and choice-driven storytelling.
Like a Dragon: Pirate Yakuza in Hawaii,Action Adventure,8.4,Goro Majima takes center stage in this pirate-themed spinoff full of the series' signature humor and brawling.
South of Midnight,Action Adventure,7.8,A Southern Gothic action game from Compulsion Games featuring Hazel navigating a folklore-filled bayou world.
Assassin's Creed Shadows,Action RPG,8.0,Set in feudal Japan with dual protagonists—a shinobi and a samurai—offering stealth and brute force playstyles.
Death Stranding 2: On the Beach,Action,8.7,Kojima Productions' surreal sequel expands the strand-type game formula with new mechanics and a haunting narrative.
Ghost of Yotei,Action Adventure,9.0,The spiritual successor to Ghost of Tsushima set in 1603 Hokkaido featuring a new female protagonist.
The Outer Worlds 2,RPG,8.3,Obsidian's satirical sci-fi RPG sequel brings players to new star systems with refined gunplay and more reactive writing.
Borderlands 4,Looter Shooter,7.9,Gearbox's beloved cel-shaded looter shooter returns with billions of procedural guns and irreverent humor.
Doom: The Dark Ages,FPS,9.1,A prequel to the 2016 reboot casting the Doom Slayer in medieval hellish warfare with shields and dragons.
Split Fiction,Co-op Adventure,9.4,Hazelight Studios' latest co-op masterpiece following two writers trapped in their own fictional worlds.
Lost Records: Bloom & Rage,Narrative Adventure,8.2,Don't Nod's episodic narrative game about four friends confronting a mysterious secret from their 1990s past.
Cronos: The New Dawn,Survival Horror,7.6,Bloober Team's sci-fi survival horror set in a post-apocalyptic 1980s Poland with time-shifting mechanics.
Phantom Brave: The Lost Hero,Tactical RPG,7.4,NIS America's cult classic returns with a new adventure featuring Marona and her phantom companions.
Wanted: Dead 2,Action,6.8,The sequel to the stylish cult hack-and-slash brings more over-the-top action and anime-inspired cutscenes.
FragPunk,Hero Shooter,7.5,A card-based hero shooter that lets players alter match rules mid-game using a unique shard card system.
Eternal Strands,Action RPG,7.7,Yellow Brick Games' debut title featuring large-scale creature encounters with physics-driven magic combat.
Towers of Aghasba,City Builder,7.2,A colorful city-building survival game set in a world recovering from an ancient catastrophe.
Subnautica 2,Survival,8.6,The co-op sequel to the beloved underwater survival game with expanded biomes and collaborative crafting.
The Alters,Sci-Fi Survival,8.3,11 Bit Studios' narrative survival game where you manage alternate versions of yourself on an alien planet.
Intergalactic: The Heretic Prophet,Action Adventure,8.0,Naughty Dog's new IP featuring a bounty hunter stranded on a planet cut off from the galaxy.
Ninja Gaiden 4,Action,8.5,The iconic ninja franchise returns with Ryu Hayabusa alongside a new protagonist in a brutal stylish action game.
Project 007,Action Adventure,7.9,IO Interactive's James Bond origin story featuring a new Bond and spy gameplay in a brand new chapter.
Mafia: The Old Country,Action Adventure,8.1,Hangar 13 takes the series back to 1900s Sicily exploring the origins of the American mafia.
Elden Ring Nightreign,Co-op Roguelite,8.8,FromSoftware's standalone co-op spinoff set in the Elden Ring universe with a roguelite structure and boss runs.
The Legend of Zelda: Echoes of Wisdom,Action Adventure,9.1,Princess Zelda takes the starring role for the first time using echo abilities to solve puzzles and fight enemies.
Xenoblade Chronicles X: Definitive Edition,JRPG,8.4,The enhanced re-release of the ambitious Wii U open-world JRPG with improved visuals and new story content.
Metroid Prime 4: Beyond,Action Adventure,9.3,The long-awaited fourth entry in the Metroid Prime series returns Samus to first-person exploration and combat.
Mario Kart World,Racing,9.0,Nintendo's flagship kart racer goes open world with a massive interconnected map between traditional race tracks.
Atomfall,Action Adventure,7.8,Rebellion's alternate history survival RPG set in 1960s England following a nuclear disaster.
Tempest Rising,RTS,7.6,A modern real-time strategy game inspired by Command & Conquer with two factions battling over storm energy.
Blades of Fire,Action,7.9,MercurySteam's fantasy action game where you forge and customize your own weapons mid-adventure.
Rematch,Sports,7.3,Sloclap's online multiplayer soccer game focused on fluid one-on-one street football skills.
